user_id,email,joined_datetime,location,name,profile_picture,surname,valuegraph_id
fe878ccf-aba7-4b16-8b5f-847f7db6e0ad,joe.rogan@example.com,,USA,Joe Rogan,,,
39eab94a-b6f7-40e1-81d7-9be14b7c867d,neil.tyson@example.com,,USA,Neil deGrasse Tyson,,,
98806cda-663d-4b4c-8d72-7a1d28ed4f58,quentin.tarantino@example.com,,USA,Quentin Tarantino,,,
45d4a39e-a9a3-4c27-955a-6d056324c6fd,jordan.peterson@example.com,,Canada,Jordan Peterson,,,
6c1b8973-5ebd-4407-8817-02945bcfa561,jeff.bezos@example.com,,USA,Jeff Bezos,,,
8bdce8ab-41e9-49db-a3f5-5cbacd5f60d0,jk.rowling@example.com,,UK,J.K. Rowling,,,
c58998de-48a9-4f9a-9e7a-2ec430fe6e09,jeff.goldblum@example.com,,USA,Jeff Goldblum,,,
aeeb7c42-d2d5-4e4e-8ed3-af313f5d6358,david.attenborough@example.com,,UK,David Attenborough,,,
ff52c318-95e0-4f1f-89cc-62551c814a83,emma.watson@example.com,,UK,Emma Watson,,,
16f033ca-2b2c-4745-a537-82999209774c,steve.wozniak@example.com,,USA,Steve Wozniak,,,
7d6e67f2-5c64-4175-8330-a0d1b2b9c45f,stephen.hawking@example.com,,UK,Stephen Hawking,,,
b4dfd93d-a9e0-4bf8-8685-735dbde17ff7,elon.musk@example.com,,USA,Elon Musk,,,
a0a79e14-2ea9-4924-a992-6d5e1d7ad0ab,james.cameron@example.com,,Canada,James Cameron,,,
1be6b6df-d5f3-4d82-9e15-c3a8c78607dd,pope.francis@example.com,,Vatican City,Pope Francis,,,
86eb2b6c-1771-4533-9bd8-fca4f83fe61a,bill.gates@example.com,,USA,Bill Gates,,,
9c89c702-6c61-49c8-9f0c-47b8e4e84e4b,marie.kondo@example.com,,Japan,Marie Kondo,,,
2d10e93b-163f-40f0-9b77-1de15e2b5d0c,richard.branson@example.com,,UK,Richard Branson,,,
642932c8-63fe-4f06-91c9-0e7e6d8b0756,barack.obama@example.com,,USA,Barack Obama,,,
84a8f453-80f4-408f-b692-01bfcfeb7b10,morgan.freeman@example.com,,USA,Morgan Freeman,,,
20bb3797-b82c-4a7b-b3e5-c726ce2a19cd,oprah.winfrey@example.com,,USA,Oprah Winfrey,,,
